parid,dunid,negeri,parlimen,dun
6,6,KEDAH,KUBANG PASU,JITRA
7,7,KEDAH,PADANG TERAP,KUALA NERANG
7,8,KEDAH,PADANG TERAP,PEDU
8,9,KEDAH,POKOK SENA,BUKIT LADA
8,10,KEDAH,POKOK SENA,BUKIT PINANG
8,11,KEDAH,POKOK SENA,DERGA
9,12,KEDAH,ALOR SETAR,SUKA MENANTI
9,13,KEDAH,ALOR SETAR,KOTA DARUL AMAN
9,14,KEDAH,ALOR SETAR,ALOR MENGKUDU
10,15,KEDAH,KUALA KEDAH,ANAK BUKIT
10,16,KEDAH,KUALA KEDAH,KUBANG ROTAN
10,17,KEDAH,KUALA KEDAH,PENGKALAN KUNDOR
11,18,KEDAH,PENDANG,TOKAI
11,19,KEDAH,PENDANG,SUNGAI TIANG
12,20,KEDAH,JERAI,SUNGAI LIMAU
12,21,KEDAH,JERAI,GUAR CHEMPEDAK
12,22,KEDAH,JERAI,GURUN
13,23,KEDAH,SIK,BELANTEK
13,24,KEDAH,SIK,JENERI
14,25,KEDAH,MERBOK,BUKIT SELAMBAU
14,26,KEDAH,MERBOK,TANJONG DAWAI
15,27,KEDAH,SUNGAI PETANI,PANTAI MERDEKA
15,28,KEDAH,SUNGAI PETANI,BAKAR ARANG
15,29,KEDAH,SUNGAI PETANI,SIDAM
16,30,KEDAH,BALING,BAYU
16,31,KEDAH,BALING,KUPANG
16,32,KEDAH,BALING,KUALA KETIL
17,33,KEDAH,PADANG SERAI,MERBAU PULAS
17,34,KEDAH,PADANG SERAI,LUNAS
18,35,KEDAH,KULIM-BANDAR BAHARU,KULIM
18,36,KEDAH,KULIM-BANDAR BAHARU,BANDAR BAHARU
19,1,KELANTAN,TUMPAT,PENGKALAN KUBOR
19,2,KELANTAN,TUMPAT,KELABORAN
19,3,KELANTAN,TUMPAT,PASIR PEKAN
19,4,KELANTAN,TUMPAT,WAKAF BHARU
20,5,KELANTAN,PENGKALAN CHEPA,KIJANG
20,6,KELANTAN,PENGKALAN CHEPA,CHEMPAKA
20,7,KELANTAN,PENGKALAN CHEPA,PANCHOR
21,8,KELANTAN,KOTA BHARU,TANJONG MAS
21,9,KELANTAN,KOTA BHARU,KOTA LAMA
21,10,KELANTAN,KOTA BHARU,BUNUT PAYONG
22,11,KELANTAN,PASIR MAS,TENDONG
22,12,KELANTAN,PASIR MAS,PENGKALAN PASIR
22,13,KELANTAN,PASIR MAS,MERANTI
23,14,KELANTAN,RANTAU PANJANG,CHETOK
23,15,KELANTAN,RANTAU PANJANG,GUAL PERIOK
23,16,KELANTAN,RANTAU PANJANG,APAM PUTRA
24,17,KELANTAN,KUBANG KERIAN,SALOR
24,18,KELANTAN,KUBANG KERIAN,PASIR TUMBOH
24,19,KELANTAN,KUBANG KERIAN,DEMIT
25,20,KELANTAN,BACHOK,TAWANG
25,21,KELANTAN,BACHOK,PANTAI IRAMA
25,22,KELANTAN,BACHOK,JELAWAT
26,23,KELANTAN,KETEREH,MELOR
26,24,KELANTAN,KETEREH,KADOK
26,25,KELANTAN,KETEREH,KOK LANAS
27,26,KELANTAN,TANAH MERAH,BUKIT PANAU
27,27,KELANTAN,TANAH MERAH,GUAL IPOH
27,28,KELANTAN,TANAH MERAH,KEMAHANG
28,29,KELANTAN,PASIR PUTEH,SELISING
28,30,KELANTAN,PASIR PUTEH,LIMBONGAN
28,31,KELANTAN,PASIR PUTEH,SEMERAK
28,32,KELANTAN,PASIR PUTEH,GAAL
29,33,KELANTAN,MACHANG,PULAI CHONDONG
29,34,KELANTAN,MACHANG,TEMANGAN
29,35,KELANTAN,MACHANG,KEMUNING
30,36,KELANTAN,JELI,BUKIT BUNGA
30,37,KELANTAN,JELI,AIR LANAS
30,38,KELANTAN,JELI,KUALA BALAH
31,39,KELANTAN,KUALA KRAI,MENGKEBANG
31,40,KELANTAN,KUALA KRAI,GUCHIL
31,41,KELANTAN,KUALA KRAI,MANEK URAI
31,42,KELANTAN,KUALA KRAI,DABONG
32,43,KELANTAN,GUA MUSANG,NENGGIRI
32,44,KELANTAN,GUA MUSANG,PALOH
32,45,KELANTAN,GUA MUSANG,GALAS
33,1,TERENGGANU,BESUT,KUALA BESUT
33,2,TERENGGANU,BESUT,KOTA PUTERA
33,3,TERENGGANU,BESUT,JERTIH
33,4,TERENGGANU,BESUT,HULU BESUT
34,5,TERENGGANU,SETIU,JABI
34,6,TERENGGANU,SETIU,PERMAISURI
34,7,TERENGGANU,SETIU,LANGKAP
34,8,TERENGGANU,SETIU,BATU RAKIT
35,9,TERENGGANU,KUALA NERUS,TEPUH
35,10,TERENGGANU,KUALA NERUS,BULUH GADING
35,11,TERENGGANU,KUALA NERUS,SEBERANG TAKIR
35,12,TERENGGANU,KUALA NERUS,BUKIT TUNGGAL
36,13,TERENGGANU,KUALA TERENGGANU,WAKAF MEMPELAM
36,14,TERENGGANU,KUALA TERENGGANU,BANDAR
36,15,TERENGGANU,KUALA TERENGGANU,LADANG
